Task B3: Countries with Temperatures from -10.0 to 10.0
Temperature,Year,Month,Country,Country_Code
-5.77(C) 21.61(F),2012,Dec,Latvia,LVA
-5.77(C) 21.61(F),2003,Jan,Belarus,BLR
-5.77(C) 21.61(F),2013,Jun,Greenland,GRL
-5.75(C) 21.65(F),2010,Apr,Russia,RUS
-5.75(C) 21.65(F),2010,Jan,United States,USA
-5.74(C) 21.67(F),2012,Feb,Austria,AUT
-5.74(C) 21.68(F),2003,Dec,China,CHN
-5.72(C) 21.70(F),2014,Dec,Sweden,SWE
-5.72(C) 21.70(F),2006,Feb,Ukraine,UKR
-5.72(C) 21.70(F),2002,Dec,Moldova,MDA
-5.71(C) 21.72(F),2005,Dec,Tajikistan,TJK
-5.71(C) 21.73(F),2005,Feb,Estonia,EST
-5.70(C) 21.74(F),2008,Jan,Azerbaijan,AZE
-5.67(C) 21.79(F),2001,Feb,Estonia,EST
-5.66(C) 21.81(F),2016,Jan,Georgia,GEO
-5.66(C) 21.81(F),2014,Feb,China,CHN
-5.65(C) 21.83(F),2000,Feb,Sweden,SWE
-5.65(C) 21.83(F),2000,Jun,Greenland,GRL
-5.64(C) 21.86(F),2011,Jan,United States,USA
-5.64(C) 21.86(F),2010,Mar,Sweden,SWE
-5.63(C) 21.87(F),2002,Mar,Mongolia,MNG
-5.63(C) 21.87(F),2005,Dec,Liechtenstein,LIE
-5.63(C) 21.87(F),2008,Dec,Tajikistan,TJK
-5.61(C) 21.90(F),2001,Jan,Georgia,GEO
-5.61(C) 21.91(F),2015,Jun,Greenland,GRL
-5.60(C) 21.92(F),2003,Apr,Russia,RUS
-5.60(C) 21.92(F),2005,Feb,Latvia,LVA
-5.59(C) 21.94(F),2015,Feb,Sweden,SWE
-5.59(C) 21.95(F),2015,Feb,Norway,NOR
-5.58(C) 21.96(F),2016,Feb,Sweden,SWE
-5.58(C) 21.96(F),2004,Dec,Tajikistan,TJK
-5.56(C) 21.99(F),2006,Dec,China,CHN
-5.56(C) 21.99(F),2006,Dec,Georgia,GEO
-5.56(C) 22.00(F),2011,Feb,Ukraine,UKR
-5.55(C) 22.00(F),2006,Feb,Liechtenstein,LIE
-5.55(C) 22.01(F),2005,Mar,Estonia,EST
-5.55(C) 22.02(F),2005,Aug,Greenland,GRL
-5.54(C) 22.02(F),2006,Jan,Czech Republic,CZE
-5.53(C) 22.05(F),2012,Feb,Poland,POL
-5.52(C) 22.06(F),2014,Jan,Georgia,GEO
-5.51(C) 22.09(F),2011,Dec,Armenia,ARM
-5.50(C) 22.10(F),2012,Jan,Georgia,GEO
